Country	City	final_currency
PHILIPPINES	BISLIG	USD
PHILIPPINES	BIYAWA	USD
PHILIPPINES	CAGAYAN DE ORO	USD
PHILIPPINES	CEBU	USD
PHILIPPINES	MATI	USD
POLAND	GDANSK	EUR
POLAND	GDYNIA	EUR
POLAND	WARSZAWA	EUR
PORTUGAL	ANGRA DO HEROISMO	EUR
PORTUGAL	AVEIRO	EUR
PORTUGAL	BANATICA	EUR
PORTUGAL	FARO	EUR
PORTUGAL	FIGUEIRA DA FOZ	EUR
PORTUGAL	FLORES ISLAND	EUR
PORTUGAL	FUNCHAL	EUR
PORTUGAL	HORTA, AZ	EUR
PORTUGAL	LAGOS	EUR
PORTUGAL	LEIXOES	EUR
PORTUGAL	LISBOA	EUR
PORTUGAL	O P PORTUGAL	EUR
PORTUGAL	OLHAO	EUR
PORTUGAL	PONTA DELGADA	EUR
PORTUGAL	PORTIMAO	EUR
PORTUGAL	PORTO	EUR
PORTUGAL	PORTO SANTO	EUR
PORTUGAL	SANTA MARIA	EUR
PORTUGAL	SAO MIGUEL	EUR
PORTUGAL	SETUBAL	EUR
PORTUGAL	SINES	EUR
PORTUGAL	TERCEIRA	EUR
PORTUGAL	VIANA DO CASTELO	EUR
PORTUGAL	VILA REAL DE SANTO ANTONIO	EUR
PUERTO RICO	SAN JUAN	USD
QATAR	DOHA	USD
QATAR	UMMSAID	USD
ROMANIA	CONSTANTA	EUR
RUSSIA	IRKUTSK	USD
RUSSIA	KRASNOJARSK	USD
RUSSIA	MOSCOW	USD
RUSSIA	NOVOROSSIYSK	USD
RUSSIA	NOVOSIBIRSK	USD
RUSSIA	ST PETERSBURG	USD
RUSSIA	VLADIVOSTOK	USD
RUSSIA	YEKATERINBURG	USD
SINGAPORE	SINGAPORE	USD
SLOVAK REPUBLIC	BRATISLAVA	USD
SOUTH AFRICA	CAPETOWN	USD
SOUTH AFRICA	DURBAN	USD
SOUTH AFRICA	JOHANNESBURG	USD
SOUTH AFRICA	PORT ELIZABETH	USD
SPAIN	ALAVA	EUR
SPAIN	ALBACETE	EUR
SPAIN	ALCANICES	EUR
SPAIN	ALCUDIA	EUR
SPAIN	ALGECIRAS	EUR
SPAIN	ALICANTE	EUR
SPAIN	ALMERIA	EUR
SPAIN	ARRECIFE DE LANZAROTE	EUR
SPAIN	ASTURIAS APT	EUR
SPAIN	AVILA	EUR
SPAIN	AVILES	EUR
SPAIN	AYAMONTE	EUR
SPAIN	BADAJOZ	EUR
SPAIN	BARCELONA	EUR
SPAIN	BILBAO	EUR
SPAIN	BURGOS	EUR
SPAIN	BURRIANA	EUR
SPAIN	CADIZ	EUR
SPAIN	CANFRANC	EUR
SPAIN	CARTAGENA	EUR
SPAIN	CASTELLON DE LA PLANA	EUR
SPAIN	CEUTA	EUR
SPAIN	CIUDAD REAL	EUR
SPAIN	CORCUBION	EUR
SPAIN	CORDOBA	EUR
SPAIN	CUENCA	EUR
SPAIN	EL FERROL	EUR
SPAIN	ELIZONDO	EUR
SPAIN	FUENTES DE ONORO	EUR
SPAIN	FUERTEVENTURA/PTO DEL ROSARIO	EUR
SPAIN	GANDIA	EUR
SPAIN	GERONA	EUR
SPAIN	GIJON	EUR
SPAIN	GRANADA	EUR
SPAIN	GRAO	EUR
SPAIN	GUADALAJARA	EUR
SPAIN	GUIPUZCOA APT	EUR
SPAIN	HIERRO	EUR
SPAIN	HUELVA	EUR
SPAIN	HUESCA	EUR
SPAIN	IBIZA	EUR
SPAIN	IRUN	EUR
SPAIN	JAEN	EUR
SPAIN	JEREZ	EUR
SPAIN	JEREZ FRONTERA APT	EUR
SPAIN	LA CORUNA	EUR
SPAIN	LA JUNQUERA	EUR
SPAIN	LAS PALMAS, GRAN CANARIA	EUR
SPAIN	LEON	EUR
SPAIN	LERIDA	EUR
SPAIN	LES	EUR
SPAIN	LOGRONO	EUR
SPAIN	LUGO	EUR
SPAIN	MADRID	EUR
SPAIN	MAHON	EUR
SPAIN	MALAGA	EUR
SPAIN	MARIN	EUR
SPAIN	MELILLA	EUR
SPAIN	MOTRIL	EUR
SPAIN	MURCIA	EUR
SPAIN	MUSEL	EUR
SPAIN	O P SPAIN	EUR
SPAIN	ORENSE	EUR
SPAIN	PALAMOS	EUR
SPAIN	PALENCIA	EUR
SPAIN	PALMA DE MALLORCA	EUR
SPAIN	PAMPLONA	EUR
SPAIN	PASAJES	EUR
SPAIN	PORT BOU	EUR
SPAIN	PUERTO DE SANTA MARIA	EUR
SPAIN	PUIGCERDA	EUR
SPAIN	RIBADEO	EUR
SPAIN	ROSAL DE LA FRONTERA	EUR
SPAIN	SAGUNTO	EUR
SPAIN	SAN CARLOS DE LA RAPITA	EUR
SPAIN	SAN FELIU DE GUIXOLS	EUR
SPAIN	SAN FERNANDO	EUR
SPAIN	SAN SEBASTIAN	EUR
SPAIN	SAN SEBASTIAN DE LA GOMERA	EUR
SPAIN	SANTA CRUZ DE LA PALMA	EUR
SPAIN	SANTA CRUZ DE TENERIFE	EUR
SPAIN	SANTANDER	EUR
SPAIN	SANTIAGO DE COMPOSTELA APT	EUR
SPAIN	SANTURCE	EUR
SPAIN	SEGOVIA	EUR
SPAIN	SEO DE URGEL	EUR
SPAIN	SEVILLA	EUR
SPAIN	SORIA	EUR
SPAIN	TARRAGONA	EUR
SPAIN	TENERIFE APT	EUR
SPAIN	TERUEL	EUR
SPAIN	TOLEDO	EUR
SPAIN	TORREVIEJA	EUR
SPAIN	TUY	EUR
SPAIN	VALCARLOS	EUR
SPAIN	VALENCIA	EUR
SPAIN	VALENCIA DE ALCANTARA	EUR
SPAIN	VALLADOLID	EUR
SPAIN	VERIN	EUR
SPAIN	VIGO	EUR
SPAIN	VILLAGARCIA	EUR
SPAIN	ZARAGOZA	EUR
SWEDEN	GAVLE	EUR
SWEDEN	GOTHENBURG	EUR
TAIWAN	KAOHSIUNG	USD
TAIWAN	KEELUNG	USD
TAJIKISTAN	DUSHANBE	USD
THAILAND	BANGKOK	USD
THAILAND	LAEM CHABANG	USD
TURKEY	GEBZE	USD
TURKEY	 ISTANBUL	USD
TURKEY	IZMIR	USD
TURKMENISTAN	ASHKHABAD	USD
UKRAINE	KIEV	USD
UKRAINE	ODESSA	USD
UNITED ARAB EMIRATES	ABU DHABI	USD
UNITED ARAB EMIRATES	JEBEL ALI	USD
UNITED KINGDOM	BIRMINGHAM	EUR
UNITED KINGDOM	FELIXSTOWE	EUR
UNITED KINGDOM	GLASGOW	EUR
UNITED KINGDOM	LIVERPOOL	EUR
UNITED KINGDOM	GATWICK APT	EUR
UNITED STATES	ATLANTA	USD
UNITED STATES	BROOKLYN	USD
UNITED STATES	CHICAGO	USD
UNITED STATES	COLUMBUS	USD
UNITED STATES	DALLAS	USD
UNITED STATES	DETROIT	USD
UNITED STATES	FORT LAUDERDALE	USD
UNITED STATES	FORT WORTH	USD
UNITED STATES	GALVESTON	USD
UNITED STATES	HOUSTON	USD
UNITED STATES	LA GUARDIA APT	USD
UNITED STATES	LOS ANGELES	USD
UNITED STATES	MEMPHIS	USD
UNITED STATES	MIAMI	USD
UNITED STATES	NEW YORK	USD
UNITED STATES	NEWARK	USD
UNITED STATES	NEWPORT NEWS	USD
UNITED STATES	NORFOLK	USD
UNITED STATES	ORLANDO	USD
UNITED STATES	SAVANNAH	USD
UNITED STATES	SEATTLE	USD
UNITED STATES	TAMPA	USD
UNITED STATES	TEXAS CITY	USD
URUGUAY	ARTIGAS	USD
URUGUAY	BELLA UNION	USD
URUGUAY	COLONIA	USD
URUGUAY	FRAY BENTOS	USD
URUGUAY	MELO	USD
URUGUAY	MONTEVIDEO	USD
URUGUAY	NUEVA PALMIRA	USD
URUGUAY	O P URUGUAY	USD
URUGUAY	PAYSANDU	USD
URUGUAY	PUNTA DEL ESTE	USD
URUGUAY	RIVERA	USD
URUGUAY	SALTO	USD
URUGUAY	MERCEDES	USD
UZBEKISTAN	FERGANA	USD
UZBEKISTAN	SAMARKAND	USD
UZBEKISTAN	TASHKENT	USD
