ciudad origen	pais origen	ciudad destino	pais destino
Tianjin / Xingang	China	Glasgow	Scotland
Tianjin / Xingang	China	Bratislava 	Slovakia
Tianjin / Xingang	China	Kosice	Slovakia
Tianjin / Xingang	China	Barcelona	Spain
Tianjin / Xingang	China	Bilbao	Spain
Tianjin / Xingang	China	Madrid	Spain
Tianjin / Xingang	China	Seville	Spain
Tianjin / Xingang	China	Valencia	Spain
Tianjin / Xingang	China	Gothenburg	Sweden
Tianjin / Xingang	China	Stockholm	Sweden
Tianjin / Xingang	China	Basel	Switzerland
Tianjin / Xingang	China	Frenkendorf	Switzerland
Tianjin / Xingang	China	Rotterdam	The Netherlands
Tianjin / Xingang	China	Istanbul	Turkey
Tianjin / Xingang	China	Odessa	Ukraine
Tianjin / Xingang	China	Kiev	Ukraine
Tianjin / Xingang	China	Leeds	United Kingdom
Tianjin / Xingang	China	Liverpool	United Kingdom
Tianjin / Xingang	China	London	United Kingdom
Tianjin / Xingang	China	Manchaster	United Kingdom
Qingdao	China	Salzburg	Austria
Qingdao	China	Vienna	Austria
Qingdao	China	Minsk	Belarus
Qingdao	China	Antwerp	Belgium
Qingdao	China	Ostrava	Czech Republic
Qingdao	China	Prague	Czech Republic
Qingdao	China	Aarhus	Denmark
Qingdao	China	Copenhagen	Denmark
Qingdao	China	Tallinn	Estonia
Qingdao	China	Helsinki	Finland
Qingdao	China	Kotka	Finland
Qingdao	China	Bordeaux	France
Qingdao	China	Le Havre	France
Qingdao	China	Lyon	France
Qingdao	China	Marseille	France
Qingdao	China	Nantes	France
Qingdao	China	Baunatal	Germany
Qingdao	China	Berlin	Germany
Qingdao	China	Bremen	Germany
Qingdao	China	Bremerhaven	Germany
Qingdao	China	Cologne	Germany
Qingdao	China	Duisburg	Germany
Qingdao	China	Frankfurt	Germany
Qingdao	China	Hamburg	Germany
Qingdao	China	Karlsruhe	Germany
Qingdao	China	Kornwestheim	Germany
Qingdao	China	Leipzig	Germany
Qingdao	China	Ludwigshafen	Germany
Qingdao	China	Mannheim	Germany
Qingdao	China	Munich	Germany
Qingdao	China	Neuss	Germany
Qingdao	China	Nuremberg	Germany
Qingdao	China	Regensburg	Germany
Qingdao	China	Stuttgart	Germany
Qingdao	China	Ulm	Germany
Qingdao	China	Woerth	Germany
Qingdao	China	Budapest	Hungary
Qingdao	China	Cork	Ireland
Qingdao	China	Dublin	Ireland
Qingdao	China	Genoa	Italy
Qingdao	China	La Spezia	Italy
Qingdao	China	Livorno	Italy
Qingdao	China	Milano	Italy
Qingdao	China	Naples	Italy
Qingdao	China	Venice	Italy 
Qingdao	China	Riga	Latvia
Qingdao	China	Klaipeda	Lithuania
Qingdao	China	Oslo	Norway
Qingdao	China	Stavanger	Norway
Qingdao	China	Gdynia	Poland
Qingdao	China	Gorzow	Poland
Qingdao	China	Lodz	Poland
Qingdao	China	Malasheviche	Poland
Qingdao	China	Poznan	Poland
Qingdao	China	Tuszyn	Poland
Qingdao	China	Warsaw	Poland
Qingdao	China	Wroclaw	Poland
Qingdao	China	Leicoes	Portugal
Qingdao	China	Lisbon	Portugal
Qingdao	China	Bukarest	Romania
Qingdao	China	Moscow	Russia
Qingdao	China	Edinburgh	Scotland
Qingdao	China	Glasgow	Scotland
Qingdao	China	Bratislava 	Slovakia
Qingdao	China	Kosice	Slovakia
Qingdao	China	Barcelona	Spain
Qingdao	China	Bilbao	Spain
Qingdao	China	Madrid	Spain
Qingdao	China	Seville	Spain
Qingdao	China	Valencia	Spain
Qingdao	China	Gothenburg	Sweden
Qingdao	China	Stockholm	Sweden
Qingdao	China	Basel	Switzerland
Qingdao	China	Frenkendorf	Switzerland
Qingdao	China	Rotterdam	The Netherlands
Qingdao	China	Istanbul	Turkey
Qingdao	China	Odessa	Ukraine
Qingdao	China	Kiev	Ukraine
Qingdao	China	Leeds	United Kingdom
Qingdao	China	Liverpool	United Kingdom
Qingdao	China	London	United Kingdom
Qingdao	China	Manchaster	United Kingdom
Lianyungang	China	Salzburg	Austria
Lianyungang	China	Vienna	Austria
Lianyungang	China	Minsk	Belarus
Lianyungang	China	Antwerp	Belgium
Lianyungang	China	Ostrava	Czech Republic
Lianyungang	China	Prague	Czech Republic
Lianyungang	China	Aarhus	Denmark
Lianyungang	China	Copenhagen	Denmark
Lianyungang	China	Tallinn	Estonia
Lianyungang	China	Helsinki	Finland
Lianyungang	China	Kotka	Finland
Lianyungang	China	Bordeaux	France
Lianyungang	China	Le Havre	France
Lianyungang	China	Lyon	France
Lianyungang	China	Marseille	France
Lianyungang	China	Nantes	France
Lianyungang	China	Baunatal	Germany
Lianyungang	China	Berlin	Germany
Lianyungang	China	Bremen	Germany
Lianyungang	China	Bremerhaven	Germany
Lianyungang	China	Cologne	Germany
Lianyungang	China	Duisburg	Germany
Lianyungang	China	Frankfurt	Germany
Lianyungang	China	Hamburg	Germany
Lianyungang	China	Karlsruhe	Germany
Lianyungang	China	Kornwestheim	Germany
Lianyungang	China	Leipzig	Germany
Lianyungang	China	Ludwigshafen	Germany
Lianyungang	China	Mannheim	Germany
Lianyungang	China	Munich	Germany
Lianyungang	China	Neuss	Germany
Lianyungang	China	Nuremberg	Germany
Lianyungang	China	Regensburg	Germany
Lianyungang	China	Stuttgart	Germany
Lianyungang	China	Ulm	Germany
Lianyungang	China	Woerth	Germany
Lianyungang	China	Budapest	Hungary
Lianyungang	China	Cork	Ireland
Lianyungang	China	Dublin	Ireland
Lianyungang	China	Genoa	Italy
Lianyungang	China	La Spezia	Italy
Lianyungang	China	Livorno	Italy
Lianyungang	China	Milano	Italy
Lianyungang	China	Naples	Italy
Lianyungang	China	Venice	Italy 
Lianyungang	China	Riga	Latvia
Lianyungang	China	Klaipeda	Lithuania
Lianyungang	China	Oslo	Norway
Lianyungang	China	Stavanger	Norway
Lianyungang	China	Gdynia	Poland
Lianyungang	China	Gorzow	Poland
Lianyungang	China	Lodz	Poland
Lianyungang	China	Malasheviche	Poland
Lianyungang	China	Poznan	Poland
Lianyungang	China	Tuszyn	Poland
Lianyungang	China	Warsaw	Poland
Lianyungang	China	Wroclaw	Poland
Lianyungang	China	Leicoes	Portugal
Lianyungang	China	Lisbon	Portugal
Lianyungang	China	Bukarest	Romania
Lianyungang	China	Moscow	Russia
Lianyungang	China	Edinburgh	Scotland
Lianyungang	China	Glasgow	Scotland
Lianyungang	China	Bratislava 	Slovakia
Lianyungang	China	Kosice	Slovakia
Lianyungang	China	Barcelona	Spain
Lianyungang	China	Bilbao	Spain
Lianyungang	China	Madrid	Spain
Lianyungang	China	Seville	Spain
Lianyungang	China	Valencia	Spain
Lianyungang	China	Gothenburg	Sweden
Lianyungang	China	Stockholm	Sweden
Lianyungang	China	Basel	Switzerland
Lianyungang	China	Frenkendorf	Switzerland
Lianyungang	China	Rotterdam	The Netherlands
Lianyungang	China	Istanbul	Turkey
Lianyungang	China	Odessa	Ukraine
Lianyungang	China	Kiev	Ukraine
Lianyungang	China	Leeds	United Kingdom
Lianyungang	China	Liverpool	United Kingdom
Lianyungang	China	London	United Kingdom
Lianyungang	China	Manchaster	United Kingdom
Shanghai	China	Salzburg	Austria
Shanghai	China	Vienna	Austria
Shanghai	China	Minsk	Belarus
Shanghai	China	Antwerp	Belgium
Shanghai	China	Ostrava	Czech Republic
Shanghai	China	Prague	Czech Republic
Shanghai	China	Aarhus	Denmark
Shanghai	China	Copenhagen	Denmark
Shanghai	China	Tallinn	Estonia
Shanghai	China	Helsinki	Finland
Shanghai	China	Kotka	Finland
Shanghai	China	Bordeaux	France
Shanghai	China	Le Havre	France
Shanghai	China	Lyon	France
Shanghai	China	Marseille	France
Shanghai	China	Nantes	France
Shanghai	China	Baunatal	Germany
Shanghai	China	Berlin	Germany
Shanghai	China	Bremen	Germany
Shanghai	China	Bremerhaven	Germany
Shanghai	China	Cologne	Germany
Shanghai	China	Duisburg	Germany
Shanghai	China	Frankfurt	Germany
Shanghai	China	Hamburg	Germany
Shanghai	China	Karlsruhe	Germany
Shanghai	China	Kornwestheim	Germany
Shanghai	China	Leipzig	Germany
Shanghai	China	Ludwigshafen	Germany
Shanghai	China	Mannheim	Germany
Shanghai	China	Munich	Germany
Shanghai	China	Neuss	Germany
Shanghai	China	Nuremberg	Germany
Shanghai	China	Regensburg	Germany
Shanghai	China	Stuttgart	Germany
Shanghai	China	Ulm	Germany
Shanghai	China	Woerth	Germany
Shanghai	China	Budapest	Hungary
Shanghai	China	Cork	Ireland
Shanghai	China	Dublin	Ireland
Shanghai	China	Genoa	Italy
Shanghai	China	La Spezia	Italy
Shanghai	China	Livorno	Italy
Shanghai	China	Milano	Italy
Shanghai	China	Naples	Italy
Shanghai	China	Venice	Italy 
Shanghai	China	Riga	Latvia
Shanghai	China	Klaipeda	Lithuania
Shanghai	China	Oslo	Norway
Shanghai	China	Stavanger	Norway
Shanghai	China	Gdynia	Poland
Shanghai	China	Gorzow	Poland
Shanghai	China	Lodz	Poland
Shanghai	China	Malasheviche	Poland
Shanghai	China	Poznan	Poland
Shanghai	China	Tuszyn	Poland
Shanghai	China	Warsaw	Poland
Shanghai	China	Wroclaw	Poland
Shanghai	China	Leicoes	Portugal
Shanghai	China	Lisbon	Portugal
Shanghai	China	Bukarest	Romania
Shanghai	China	Moscow	Russia
Shanghai	China	Edinburgh	Scotland
Shanghai	China	Glasgow	Scotland
Shanghai	China	Bratislava 	Slovakia
Shanghai	China	Kosice	Slovakia
Shanghai	China	Barcelona	Spain
Shanghai	China	Bilbao	Spain
Shanghai	China	Madrid	Spain
Shanghai	China	Seville	Spain
Shanghai	China	Valencia	Spain
Shanghai	China	Gothenburg	Sweden
Shanghai	China	Stockholm	Sweden
Shanghai	China	Basel	Switzerland
Shanghai	China	Frenkendorf	Switzerland
Shanghai	China	Rotterdam	The Netherlands
Shanghai	China	Istanbul	Turkey
Shanghai	China	Odessa	Ukraine
Shanghai	China	Kiev	Ukraine
Shanghai	China	Leeds	United Kingdom
Shanghai	China	Liverpool	United Kingdom
Shanghai	China	London	United Kingdom
Shanghai	China	Manchaster	United Kingdom
Ningbo	China	Salzburg	Austria
Ningbo	China	Vienna	Austria
Ningbo	China	Minsk	Belarus
Ningbo	China	Antwerp	Belgium
Ningbo	China	Ostrava	Czech Republic
Ningbo	China	Prague	Czech Republic
Ningbo	China	Aarhus	Denmark
Ningbo	China	Copenhagen	Denmark
Ningbo	China	Tallinn	Estonia
Ningbo	China	Helsinki	Finland
Ningbo	China	Kotka	Finland
Ningbo	China	Bordeaux	France
Ningbo	China	Le Havre	France
Ningbo	China	Lyon	France
Ningbo	China	Marseille	France
Ningbo	China	Nantes	France
Ningbo	China	Baunatal	Germany
Ningbo	China	Berlin	Germany
Ningbo	China	Bremen	Germany
Ningbo	China	Bremerhaven	Germany
Ningbo	China	Cologne	Germany
Ningbo	China	Duisburg	Germany
Ningbo	China	Frankfurt	Germany
Ningbo	China	Hamburg	Germany
Ningbo	China	Karlsruhe	Germany
Ningbo	China	Kornwestheim	Germany
Ningbo	China	Leipzig	Germany
Ningbo	China	Ludwigshafen	Germany
Ningbo	China	Mannheim	Germany
Ningbo	China	Munich	Germany
Ningbo	China	Neuss	Germany
Ningbo	China	Nuremberg	Germany
Ningbo	China	Regensburg	Germany
Ningbo	China	Stuttgart	Germany
Ningbo	China	Ulm	Germany
Ningbo	China	Woerth	Germany
Ningbo	China	Budapest	Hungary
Ningbo	China	Cork	Ireland
Ningbo	China	Dublin	Ireland
Ningbo	China	Genoa	Italy
Ningbo	China	La Spezia	Italy
Ningbo	China	Livorno	Italy
Ningbo	China	Milano	Italy
Ningbo	China	Naples	Italy
Ningbo	China	Venice	Italy 
Ningbo	China	Riga	Latvia
Ningbo	China	Klaipeda	Lithuania
Ningbo	China	Oslo	Norway
Ningbo	China	Stavanger	Norway
Ningbo	China	Gdynia	Poland
Ningbo	China	Gorzow	Poland
Ningbo	China	Lodz	Poland
Ningbo	China	Malasheviche	Poland
Ningbo	China	Poznan	Poland
Ningbo	China	Tuszyn	Poland
Ningbo	China	Warsaw	Poland
Ningbo	China	Wroclaw	Poland
Ningbo	China	Leicoes	Portugal
Ningbo	China	Lisbon	Portugal
Ningbo	China	Bukarest	Romania
Ningbo	China	Moscow	Russia
Ningbo	China	Edinburgh	Scotland
Ningbo	China	Glasgow	Scotland
Ningbo	China	Bratislava 	Slovakia
Ningbo	China	Kosice	Slovakia
Ningbo	China	Barcelona	Spain
Ningbo	China	Bilbao	Spain
Ningbo	China	Madrid	Spain
Ningbo	China	Seville	Spain
Ningbo	China	Valencia	Spain
Ningbo	China	Gothenburg	Sweden
Ningbo	China	Stockholm	Sweden
Ningbo	China	Basel	Switzerland
Ningbo	China	Frenkendorf	Switzerland
Ningbo	China	Rotterdam	The Netherlands
Ningbo	China	Istanbul	Turkey
Ningbo	China	Odessa	Ukraine
Ningbo	China	Kiev	Ukraine
Ningbo	China	Leeds	United Kingdom
Ningbo	China	Liverpool	United Kingdom
Ningbo	China	London	United Kingdom
Ningbo	China	Manchaster	United Kingdom
Xiamen	China	Salzburg	Austria
Xiamen	China	Vienna	Austria
Xiamen	China	Minsk	Belarus
Xiamen	China	Antwerp	Belgium
Xiamen	China	Ostrava	Czech Republic
Xiamen	China	Prague	Czech Republic
Xiamen	China	Aarhus	Denmark
Xiamen	China	Copenhagen	Denmark
Xiamen	China	Tallinn	Estonia
Xiamen	China	Helsinki	Finland
Xiamen	China	Kotka	Finland
Xiamen	China	Bordeaux	France
Xiamen	China	Le Havre	France
Xiamen	China	Lyon	France
Xiamen	China	Marseille	France
Xiamen	China	Nantes	France
Xiamen	China	Baunatal	Germany
Xiamen	China	Berlin	Germany
Xiamen	China	Bremen	Germany
Xiamen	China	Bremerhaven	Germany
Xiamen	China	Cologne	Germany
Xiamen	China	Duisburg	Germany
Xiamen	China	Frankfurt	Germany
Xiamen	China	Hamburg	Germany
Xiamen	China	Karlsruhe	Germany
Xiamen	China	Kornwestheim	Germany
Xiamen	China	Leipzig	Germany
Xiamen	China	Ludwigshafen	Germany
Xiamen	China	Mannheim	Germany
Xiamen	China	Munich	Germany
Xiamen	China	Neuss	Germany
Xiamen	China	Nuremberg	Germany
Xiamen	China	Regensburg	Germany
Xiamen	China	Stuttgart	Germany
Xiamen	China	Ulm	Germany
Xiamen	China	Woerth	Germany
Xiamen	China	Budapest	Hungary
Xiamen	China	Cork	Ireland
Xiamen	China	Dublin	Ireland
Xiamen	China	Genoa	Italy
Xiamen	China	La Spezia	Italy
Xiamen	China	Livorno	Italy
Xiamen	China	Milano	Italy
Xiamen	China	Naples	Italy
Xiamen	China	Venice	Italy 
Xiamen	China	Riga	Latvia
Xiamen	China	Klaipeda	Lithuania
Xiamen	China	Oslo	Norway
Xiamen	China	Stavanger	Norway
Xiamen	China	Gdynia	Poland
Xiamen	China	Gorzow	Poland
Xiamen	China	Lodz	Poland
Xiamen	China	Malasheviche	Poland
Xiamen	China	Poznan	Poland
Xiamen	China	Tuszyn	Poland
Xiamen	China	Warsaw	Poland
Xiamen	China	Wroclaw	Poland
Xiamen	China	Leicoes	Portugal
Xiamen	China	Lisbon	Portugal
Xiamen	China	Bukarest	Romania
Xiamen	China	Moscow	Russia
Xiamen	China	Edinburgh	Scotland
Xiamen	China	Glasgow	Scotland
Xiamen	China	Bratislava 	Slovakia
Xiamen	China	Kosice	Slovakia
Xiamen	China	Barcelona	Spain
Xiamen	China	Bilbao	Spain
Xiamen	China	Madrid	Spain
Xiamen	China	Seville	Spain
Xiamen	China	Valencia	Spain
Xiamen	China	Gothenburg	Sweden
Xiamen	China	Stockholm	Sweden
Xiamen	China	Basel	Switzerland
Xiamen	China	Frenkendorf	Switzerland
Xiamen	China	Rotterdam	The Netherlands
Xiamen	China	Istanbul	Turkey
Xiamen	China	Odessa	Ukraine
Xiamen	China	Kiev	Ukraine
Xiamen	China	Leeds	United Kingdom
Xiamen	China	Liverpool	United Kingdom
Xiamen	China	London	United Kingdom
Xiamen	China	Manchaster	United Kingdom
Huangpu	China	Salzburg	Austria
Huangpu	China	Vienna	Austria
Huangpu	China	Minsk	Belarus
Huangpu	China	Antwerp	Belgium
Huangpu	China	Ostrava	Czech Republic
Huangpu	China	Prague	Czech Republic
Huangpu	China	Aarhus	Denmark
Huangpu	China	Copenhagen	Denmark
Huangpu	China	Tallinn	Estonia
Huangpu	China	Helsinki	Finland
Huangpu	China	Kotka	Finland
Huangpu	China	Bordeaux	France
Huangpu	China	Le Havre	France
Huangpu	China	Lyon	France
Huangpu	China	Marseille	France
Huangpu	China	Nantes	France
Huangpu	China	Baunatal	Germany
Huangpu	China	Berlin	Germany
Huangpu	China	Bremen	Germany
Huangpu	China	Bremerhaven	Germany
Huangpu	China	Cologne	Germany
Huangpu	China	Duisburg	Germany
Huangpu	China	Frankfurt	Germany
Huangpu	China	Hamburg	Germany
Huangpu	China	Karlsruhe	Germany
Huangpu	China	Kornwestheim	Germany
Huangpu	China	Leipzig	Germany
Huangpu	China	Ludwigshafen	Germany
Huangpu	China	Mannheim	Germany
Huangpu	China	Munich	Germany
Huangpu	China	Neuss	Germany
Huangpu	China	Nuremberg	Germany
Huangpu	China	Regensburg	Germany
Huangpu	China	Stuttgart	Germany
Huangpu	China	Ulm	Germany
Huangpu	China	Woerth	Germany
Huangpu	China	Budapest	Hungary
Huangpu	China	Cork	Ireland
Huangpu	China	Dublin	Ireland
Huangpu	China	Genoa	Italy
Huangpu	China	La Spezia	Italy
Huangpu	China	Livorno	Italy
Huangpu	China	Milano	Italy
Huangpu	China	Naples	Italy
Huangpu	China	Venice	Italy 
Huangpu	China	Riga	Latvia
Huangpu	China	Klaipeda	Lithuania
Huangpu	China	Oslo	Norway
Huangpu	China	Stavanger	Norway
Huangpu	China	Gdynia	Poland
Huangpu	China	Gorzow	Poland
Huangpu	China	Lodz	Poland
Huangpu	China	Malasheviche	Poland
Huangpu	China	Poznan	Poland
Huangpu	China	Tuszyn	Poland
Huangpu	China	Warsaw	Poland
Huangpu	China	Wroclaw	Poland
Huangpu	China	Leicoes	Portugal
Huangpu	China	Lisbon	Portugal
Huangpu	China	Bukarest	Romania
Huangpu	China	Moscow	Russia
Huangpu	China	Edinburgh	Scotland
Huangpu	China	Glasgow	Scotland
Huangpu	China	Bratislava 	Slovakia
Huangpu	China	Kosice	Slovakia
Huangpu	China	Barcelona	Spain
Huangpu	China	Bilbao	Spain
Huangpu	China	Madrid	Spain
Huangpu	China	Seville	Spain
Huangpu	China	Valencia	Spain
Huangpu	China	Gothenburg	Sweden
Huangpu	China	Stockholm	Sweden
Huangpu	China	Basel	Switzerland
Huangpu	China	Frenkendorf	Switzerland
Huangpu	China	Rotterdam	The Netherlands
Huangpu	China	Istanbul	Turkey
Huangpu	China	Odessa	Ukraine
Huangpu	China	Kiev	Ukraine
Huangpu	China	Leeds	United Kingdom
Huangpu	China	Liverpool	United Kingdom
Huangpu	China	London	United Kingdom
Huangpu	China	Manchaster	United Kingdom
Shenzhen	China	Salzburg	Austria
Shenzhen	China	Vienna	Austria
Shenzhen	China	Minsk	Belarus
Shenzhen	China	Antwerp	Belgium
Shenzhen	China	Ostrava	Czech Republic
Shenzhen	China	Prague	Czech Republic
Shenzhen	China	Aarhus	Denmark
Shenzhen	China	Copenhagen	Denmark
Shenzhen	China	Tallinn	Estonia
Shenzhen	China	Helsinki	Finland
Shenzhen	China	Kotka	Finland
Shenzhen	China	Bordeaux	France
Shenzhen	China	Le Havre	France
Shenzhen	China	Lyon	France
Shenzhen	China	Marseille	France
Shenzhen	China	Nantes	France
Shenzhen	China	Baunatal	Germany
Shenzhen	China	Berlin	Germany
Shenzhen	China	Bremen	Germany
Shenzhen	China	Bremerhaven	Germany
Shenzhen	China	Cologne	Germany
Shenzhen	China	Duisburg	Germany
Shenzhen	China	Frankfurt	Germany
Shenzhen	China	Hamburg	Germany
Shenzhen	China	Karlsruhe	Germany
Shenzhen	China	Kornwestheim	Germany
Shenzhen	China	Leipzig	Germany
Shenzhen	China	Ludwigshafen	Germany
Shenzhen	China	Mannheim	Germany
Shenzhen	China	Munich	Germany
Shenzhen	China	Neuss	Germany
Shenzhen	China	Nuremberg	Germany
Shenzhen	China	Regensburg	Germany
Shenzhen	China	Stuttgart	Germany
Shenzhen	China	Ulm	Germany
Shenzhen	China	Woerth	Germany
Shenzhen	China	Budapest	Hungary
Shenzhen	China	Cork	Ireland
Shenzhen	China	Dublin	Ireland
Shenzhen	China	Genoa	Italy
Shenzhen	China	La Spezia	Italy
Shenzhen	China	Livorno	Italy
Shenzhen	China	Milano	Italy
Shenzhen	China	Naples	Italy
Shenzhen	China	Venice	Italy 
Shenzhen	China	Riga	Latvia
Shenzhen	China	Klaipeda	Lithuania
Shenzhen	China	Oslo	Norway
Shenzhen	China	Stavanger	Norway
Shenzhen	China	Gdynia	Poland
Shenzhen	China	Gorzow	Poland
Shenzhen	China	Lodz	Poland
Shenzhen	China	Malasheviche	Poland
Shenzhen	China	Poznan	Poland
Shenzhen	China	Tuszyn	Poland
Shenzhen	China	Warsaw	Poland
Shenzhen	China	Wroclaw	Poland
Shenzhen	China	Leicoes	Portugal
Shenzhen	China	Lisbon	Portugal
Shenzhen	China	Bukarest	Romania
Shenzhen	China	Moscow	Russia
Shenzhen	China	Edinburgh	Scotland
Shenzhen	China	Glasgow	Scotland
Shenzhen	China	Bratislava 	Slovakia
Shenzhen	China	Kosice	Slovakia
Shenzhen	China	Barcelona	Spain
Shenzhen	China	Bilbao	Spain
Shenzhen	China	Madrid	Spain
Shenzhen	China	Seville	Spain
Shenzhen	China	Valencia	Spain
Shenzhen	China	Gothenburg	Sweden
Shenzhen	China	Stockholm	Sweden
Shenzhen	China	Basel	Switzerland
Shenzhen	China	Frenkendorf	Switzerland
Shenzhen	China	Rotterdam	The Netherlands
Shenzhen	China	Istanbul	Turkey
Shenzhen	China	Odessa	Ukraine
Shenzhen	China	Kiev	Ukraine
Shenzhen	China	Leeds	United Kingdom
Shenzhen	China	Liverpool	United Kingdom
Shenzhen	China	London	United Kingdom
Shenzhen	China	Manchaster	United Kingdom
