SIZE	TIPO 1	TIPO 1 - Description	TIPO 2	TIPO 2 - Description	Condicion	Condition - Description	CODE SF	ID	Categoria	Imagenes	Ancho	Alto	Largo	container_description
20	Reefer	Refrigerado | Reefer	RH	Reefer High Cube	CW	Apto para carga 	20RH CW	59	size > 20PIES; Condition > CW; general > Reefer > RH		2,43	2,89	6,05	Contenedores frigorificos, estos contenedores podemos usarlos para todo tipo de mercaderia, tanto refrigerada con el motor prendido para su conservacion, como con el motor apagado para poder tener un aislamiento superior. En caso de usar para lo segundo, recomendamos mirar los contenedores para almacenaje, la relacion calidad precio es mejor.
20	Reefer	Refrigerado | Reefer	RH	Reefer High Cube	ASIS	Almacenaje/Modificarlo y reutilizar	20RH ASIS	60	size > 20PIES; Condition > ASIS; general > Reefer > RH		2,43	2,89	6,05	Contenedores utilizados para almacenar mercaderia donde por diferente motivos, su temperatura debe ser menor a la normal y los contenedores que denominamos"secos" no cuentan con el aislamiento que permita esto. Los contenedores contenedores no tienen el motor funcionando pero si tiene la estructura en optimas condiciones. 
20	Reefer	Refrigerado | Reefer	RH	Reefer High Cube	NEW	Nuevo	20RH NEW	61	size > 20PIES; Condition > NEW; general > Reefer > RH		2,43	2,89	6,05	Contenedores frigorificos, estos contenedores podemos usarlos para todo tipo de mercaderia, tanto refrigerada con el motor prendido para su conservacion, como con el motor apagado para poder tener un aislamiento superior. En caso de usar para lo segundo, recomendamos mirar los contenedores para almacenaje, la relacion calidad precio es mejor.
20	Special	Special | Especiales	FR	Flat Rack	CW	Apto para carga 	20FR CW	63	size > 20PIES; Condition > CW; general > Special > FR	20FRCW_1	2,43	2,89	6,05	Contenedores utilziados para carga dimensionada, donde el alto supera el permitido para los contenedores normales. 
20	Special	Special | Especiales	FR	Flat Rack	NEW	Nuevo	20FR NEW	65	size > 20PIES; Condition > NEW; general > Special > FR		2,43	2,89	6,05	Contenedores utilziados para carga dimensionada, donde el alto supera el permitido para los contenedores normales. 
20	Special	Special | Especiales	OS	Open side	CW	Apto para carga 	20OS CW	66	size > 20PIES; Condition > CW; general > Special > OS		2,43	2,59	6,05	Contenedores utilizados para almacenar mercaderia, expandir el espacio de almacenaje temporalmente como de manera fija. Estos contenedores son muy especiales por que cuentas con puertas en los laterales y te permiten retirar desde el lateral. Puede servir para espacio o modalidades de almacenaje que debes contar con una manera de almacenar y retirar mercaderia por los costados.
20	Special	Special | Especiales	OS	Open side	ASIS	Almacenaje/Modificarlo y reutilizar	20OS ASIS	67	size > 20PIES; Condition > ASIS; general > Special > OS		2,43	2,59	6,05	Contenedores utilizados para almacenar mercaderia, expandir el espacio de almacenaje temporalmente como de manera fija. Estos contenedores son muy especiales por que cuentas con puertas en los laterales y te permiten retirar desde el lateral. Puede servir para espacio o modalidades de almacenaje que debes contar con una manera de almacenar y retirar mercaderia por los costados.
20	Special	Special | Especiales	OS	Open side	NEW	Nuevo	20OS NEW	68	size > 20PIES; Condition > NEW; general > Special > OS	20OSNEW_1, 20OSNEW_2, 20OSNEW_3, 20OSNEW_4, 20OSNEW_5, 20OSNEW_6	2,43	2,59	6,05	Contenedores utilizados para almacenar mercaderia, expandir el espacio de almacenaje temporalmente como de manera fija. Estos contenedores son muy especiales por que cuentas con puertas en los laterales y te permiten retirar desde el lateral. Puede servir para espacio o modalidades de almacenaje que debes contar con una manera de almacenar y retirar mercaderia por los costados.
20	Special	Special | Especiales	OT	Open Top	CW	Apto para carga 	20OT CW	69	size > 20PIES; Condition > CW; general > Special > OT	20OTCW_1	2,43	2,59	6,05	Contenedores para aptos para carga maritima, cuentan con una lona montable y desmondable que permite al usuario almacenar carga sobre dimensionada o bien, facilitando la carga por arriba de la mercaderia.
20	Special	Special | Especiales	OT	Open Top	ASIS	Almacenaje/Modificarlo y reutilizar	20OT ASIS	70	size > 20PIES; Condition > ASIS; general > Special > OT		2,43	2,59	6,05	Contenedores para aptos para carga maritima, cuentan con una lona montable y desmondable que permite al usuario almacenar carga sobre dimensionada o bien, facilitando la carga por arriba de la mercaderia.
20	Special	Special | Especiales	OT	Open Top	NEW	Nuevo	20OT NEW	71	size > 20PIES; Condition > NEW; general > Special > OT		2,43	2,59	6,05	Contenedores para aptos para carga maritima, cuentan con una lona montable y desmondable que permite al usuario almacenar carga sobre dimensionada o bien, facilitando la carga por arriba de la mercaderia.
20	Special	Special | Especiales	OT	Open Top	REBUILT	Apto para carga 	20OT REBUILT	72	size > 20PIES; Condition > REBUILT; general > Special > OT		2,43	2,59	6,05	Contenedores para aptos para carga maritima, cuentan con una lona montable y desmondable que permite al usuario almacenar carga sobre dimensionada o bien, facilitando la carga por arriba de la mercaderia.
20	Special	Special | Especiales	TK	Tank	CW	Apto para carga 	20TK CW	73	size > 20PIES; Condition > CW; general > Special > TK		2,43	2,59	6,05	Contenedores para transporte de liquidos o a granel
20	Special	Special | Especiales	TK	Tank	ASIS	Almacenaje/Modificarlo y reutilizar	20TK ASIS	74	size > 20PIES; Condition > ASIS; general > Special > TK		2,43	2,59	6,05	Estos contenedores estan en condicion sin revisar, recomendamos siempre optar por los aptos para carga, que permitiran utilizarlos para exportacion.
20	Special	Special | Especiales	TK	Tank	NEW	Nuevo	20TK NEW	75	size > 20PIES; Condition > NEW; general > Special > TK		2,43	2,59	6,05	Contenedores para transporte de liquidos o a granel
20	Special	Special | Especiales	DC DD	Standard Double Door	CW	Apto para carga 	20DC DD CW	76	size > 20PIES; Condition > CW; general > Special > DC DD		2,43	2,59	6,05	Contenedores que cuentan con doble puerta, tanto por el frente como por la parte trasera
20	Special	Special | Especiales	DC DD	Standard Double Door	NEW	Nuevo	20DC DD NEW	77	size > 20PIES; Condition > NEW; general > Special > DC DD		2,43	2,59	6,05	Contenedores que cuentan con doble puerta, tanto por el frente como por la parte trasera
20	Special	Special | Especiales	HC DD	High Cube Double Door	NEW	Nuevo	20HC DD NEW	80	size > 20PIES; Condition > NEW; general > Special > HC DD	20HCDDNEW_1, 20HCDDNEW_2, 20HCDDNEW_3, 20HCDDNEW_4	2,43	2,89	6,05	Contenedores que cuentan con doble puerta, tanto por el frente como por la parte trasera
40	Dry	Seco | Dry	DC	DRY Standard	CW	Apto para carga 	40DC CW	82	size > 40PIES; Condition > CW; general > Dry > DC	40DCCW_1, 40DCCW_2, 40DCCW_3	2,43	2,59	12,19	Contenedores que estan en condicion de aptos para carga, puedes utilizarlos tanto para almacenaje, modificacion aunque su mayor rendimiento y para lo que se destinan es para exportar mercaderia
40	Dry	Seco | Dry	DC	DRY Standard	ASIS	Almacenaje/Modificarlo y reutilizar	40DC ASIS	83	size > 40PIES; Condition > ASIS; general > Dry > DC		2,43	2,59	12,19	Contenedores utilizados para almacenar mercaderia, expandir el espacio de almacenaje temporalmente como de manera fija. Los contenedores tiene 15 años de uso y suelen presentar una estetica deteriorada, sin duda es su relacion, calidad - precio es lo que que recomendamos para nuestros clientes.
40	Dry	Seco | Dry	DC	DRY Standard	NEW	Nuevo	40DC NEW	84	size > 40PIES; Condition > NEW; general > Dry > DC	40DCNEW_1, 40DCNEW_2, 40DCNEW_3	2,43	2,59	12,19	Contenedores en excelente estado, vinieron con carga desde donde los producimos en Asia y luego quedan vaciados en nuetros depositos. Son aptos para carga, modificarlos para casa u oficina o para almancenaje. A todo lo que te da un contenedor usado se le suma a estos la estetica como el punto mas alto.
40	Dry	Seco | Dry	DC	DRY Standard	IICL	IICL	40DC IICL	86	size > 40PIES; Condition > IICL; general > Dry > DC		2,43	2,59	12,19	Contenedores que estan en condicion de aptos para carga, puedes utilizarlos tanto para almacenaje, modificacion aunque su mayor rendimiento y para lo que se destinan es para exportar mercaderia. La condicion IICL tiene como diferencia un certificado, suelen ser del 2010 al 2012
40	Dry	Seco | Dry	DC	DRY Standard	SCRAP	Chatarra	40DC SCRAP	87	size > 40PIES; Condition > SCRAP; general > Dry > DC		2,43	2,59	12,19	contenedores que han sufrido daños muy severos, desconocemos el daño especifico del contenedor, pero sabemos que no puede ser utilizado para almacenar ni exportar. Muy utilizado para chatarra o para clientes que necesitan utilizar las partes del contenedor.
40	Dry	Seco | Dry	HC	High Cube	CW	Apto para carga 	40HC CW	88	size > 40PIES; Condition > CW; general > Dry > HC	40HCCW_1, 40HCCW_2, 40HCCW_3, 40HCCW_4	2,43	2,89	12,19	Contenedores que estan en condicion de aptos para carga, puedes utilizarlos tanto para almacenaje, modificacion aunque su mayor rendimiento y para lo que se destinan es para exportar mercaderia
40	Dry	Seco | Dry	HC	High Cube	ASIS	Almacenaje/Modificarlo y reutilizar	40HC ASIS	89	size > 40PIES; Condition > ASIS; general > Dry > HC		2,43	2,89	12,19	Contenedores utilizados para almacenar mercaderia, expandir el espacio de almacenaje temporalmente como de manera fija. Tambien puedes modificarlo y hacer una casa, oficina o cualquier proyecto modular que te haga ilucion, ayudando al medio ambiente y a ser mas ecofriendly. Los contenedores tiene 15 años de uso y suelen presentar una estetica deteriorada, por su relacion, calidad - precio, es lo que que recomendamos para nuestros clientes.
40	Dry	Seco | Dry	HC	High Cube	NEW	Nuevo	40HC NEW	90	size > 40PIES; Condition > NEW; general > Dry > HC	40HCNEW_1, 40HCNEW_2, 40HCNEW_3	2,43	2,89	12,19	Contenedores en excelente estado, vinieron con carga desde donde los producimos en Asia y luego quedan vaciados en nuetros depositos. Son aptos para carga, modificarlos para casa u oficina o para almancenaje. A todo lo que te da un contenedor usado se le suma a estos la estetica como el punto mas alto.
40	Dry	Seco | Dry	HC	High Cube	IICL	IICL	40HC IICL	92	size > 40PIES; Condition > IICL; general > Dry > HC	40HCIICL_1	2,43	2,89	12,19	Contenedores que estan en condicion de aptos para carga, puedes utilizarlos tanto para almacenaje, modificacion aunque su mayor rendimiento y para lo que se destinan es para exportar mercaderia. La condicion IICL tiene como diferencia un certificado, suelen ser del 2010 al 2012
40	Dry	Seco | Dry	HC	High Cube	SCRAP	Chatarra	40HC SCRAP	93	size > 40PIES; Condition > SCRAP; general > Dry > HC		2,43	2,89	12,19	contenedores que han sufrido daños muy severos, desconocemos el daño especifico del contenedor, pero sabemos que no puede ser utilizado para almacenar ni exportar. Muy utilizado para chatarra o para clientes que necesitan utilizar las partes del contenedor.
40	Dry	Seco | Dry	HC PW	High Cube Palletwide	CW	Apto para carga 	40HC PW CW	94	size > 40PIES; Condition > CW; general > Dry > HC PW	40HCPWCW_1, 40HCPWCW_2	2,43	2,89	12,19	Contenedores que estan en condicion de aptos para carga, puedes utilizarlos tanto para almacenaje, modificacion aunque su mayor rendimiento y para lo que se destinan es para exportar mercaderia
40	Dry	Seco | Dry	HC PW	High Cube Palletwide	ASIS	Almacenaje/Modificarlo y reutilizar	40HC PW ASIS	95	size > 40PIES; Condition > ASIS; general > Dry > HC PW		2,43	2,89	12,19	Contenedores utilizados para almacenar mercaderia, expandir el espacio de almacenaje temporalmente como de manera fija. Tambien puedes modificarlo y hacer una casa, oficina o cualquier proyecto modular que te haga ilucion, ayudando al medio ambiente y a ser mas ecofriendly. Los contenedores tiene 15 años de uso y suelen presentar una estetica deteriorada, por su relacion, calidad - precio, es lo que que recomendamos para nuestros clientes.
40	Dry	Seco | Dry	HC PW	High Cube Palletwide	NEW	Nuevo	40HC PW NEW	96	size > 40PIES; Condition > NEW; general > Dry > HC PW		2,43	2,89	12,19	Contenedores en excelente estado, vinieron con carga desde donde los producimos en Asia y luego quedan vaciados en nuetros depositos. Son aptos para carga, modificarlos para casa u oficina o para almancenaje. A todo lo que te da un contenedor usado se le suma a estos la estetica como el punto mas alto.
40	Dry	Seco | Dry	HC PW	High Cube Palletwide	IICL	IICL	40HC PW IICL	98	size > 40PIES; Condition > IICL; general > Dry > HC PW		2,43	2,89	12,19	Contenedores que estan en condicion de aptos para carga, puedes utilizarlos tanto para almacenaje, modificacion aunque su mayor rendimiento y para lo que se destinan es para exportar mercaderia. La condicion IICL tiene como diferencia un certificado, suelen ser del 2010 al 2012
40	Dry	Seco | Dry	HC PW	High Cube Palletwide	SCRAP	Chatarra	40HC PW SCRAP	99	size > 40PIES; Condition > SCRAP; general > Dry > HC PW		2,43	2,89	12,19	contenedores que han sufrido daños muy severos, desconocemos el daño especifico del contenedor, pero sabemos que no puede ser utilizado para almacenar ni exportar. Muy utilizado para chatarra o para clientes que necesitan utilizar las partes del contenedor.
40	Reefer	Refrigerado | Reefer	RF	Reefer Standard	CW	Apto para carga 	40RF CW	100	size > 40PIES; Condition > CW; general > Reefer > RF	40HCRFCW_1	2,43	2,59	12,19	Contenedores frigorificos, estos contenedores podemos usarlos para todo tipo de mercaderia, tanto refrigerada con el motor prendido para su conservacion, como con el motor apagado para poder tener un aislamiento superior. En caso de usar para lo segundo, recomendamos mirar los contenedores para almacenaje, la relacion calidad precio es mejor.
40	Reefer	Refrigerado | Reefer	RF	Reefer Standard	ASIS	Almacenaje/Modificarlo y reutilizar	40RF ASIS	101	size > 40PIES; Condition > ASIS; general > Reefer > RF		2,43	2,59	12,19	Contenedores utilizados para almacenar mercaderia donde por diferente motivos, su temperatura debe ser menor a la normal y los contenedores que denominamos"secos" no cuentan con el aislamiento que permita esto. Los contenedores contenedores no tienen el motor funcionando pero si tiene la estructura en optimas condiciones. 
40	Reefer	Refrigerado | Reefer	RF	Reefer Standard	NEW	Nuevo	40RF NEW	102	size > 40PIES; Condition > NEW; general > Reefer > RF		2,43	2,59	12,19	Contenedores frigorificos, estos contenedores podemos usarlos para todo tipo de mercaderia, tanto refrigerada con el motor prendido para su conservacion, como con el motor apagado para poder tener un aislamiento superior. En caso de usar para lo segundo, recomendamos mirar los contenedores para almacenaje, la relacion calidad precio es mejor.
40	Reefer	Refrigerado | Reefer	RH	Reefer High Cube	CW	Apto para carga 	40RH CW	104	size > 40PIES; Condition > CW; general > Reefer > RH		2,43	2,89	12,19	Contenedores frigorificos, estos contenedores podemos usarlos para todo tipo de mercaderia, tanto refrigerada con el motor prendido para su conservacion, como con el motor apagado para poder tener un aislamiento superior. En caso de usar para lo segundo, recomendamos mirar los contenedores para almacenaje, la relacion calidad precio es mejor.
40	Reefer	Refrigerado | Reefer	RH	Reefer High Cube	ASIS	Almacenaje/Modificarlo y reutilizar	40RH ASIS	105	size > 40PIES; Condition > ASIS; general > Reefer > RH		2,43	2,89	12,19	Contenedores utilizados para almacenar mercaderia donde por diferente motivos, su temperatura debe ser menor a la normal y los contenedores que denominamos"secos" no cuentan con el aislamiento que permita esto. Los contenedores contenedores no tienen el motor funcionando pero si tiene la estructura en optimas condiciones. 
40	Reefer	Refrigerado | Reefer	RH	Reefer High Cube	NEW	Nuevo	40RH NEW	106	size > 40PIES; Condition > NEW; general > Reefer > RH		2,43	2,89	12,19	Contenedores frigorificos, estos contenedores podemos usarlos para todo tipo de mercaderia, tanto refrigerada con el motor prendido para su conservacion, como con el motor apagado para poder tener un aislamiento superior. En caso de usar para lo segundo, recomendamos mirar los contenedores para almacenaje, la relacion calidad precio es mejor.
40	Special	Special | Especiales	FR	Flat Rack	CW	Apto para carga 	40FR CW	108	size > 40PIES; Condition > CW; general > Special > FR	40FRCW_1	2,43	2,59	12,19	Contenedores utilziados para carga dimensionada, donde el alto supera el permitido para los contenedores normales. 
40	Special	Special | Especiales	FR	Flat Rack	ASIS	Almacenaje/Modificarlo y reutilizar	40FR ASIS	109	size > 40PIES; Condition > ASIS; general > Special > FR		2,43	2,59	12,19	Contenedores que pueden usarse para poner mercarderia sobre dimensionada, te recomendamos por la condicion que estan, un contenedor 40 Open Top dentro de nuestra seccion de especiales.Te aportara lo mismo y aun mas proteccion en los laterales.
40	Special	Special | Especiales	FR	Flat Rack	NEW	Nuevo	40FR NEW	110	size > 40PIES; Condition > NEW; general > Special > FR		2,43	2,59	12,19	Contenedores utilziados para carga dimensionada, donde el alto supera el permitido para los contenedores normales. 
40	Special	Special | Especiales	OS	Open side	CW	Apto para carga 	40OS CW	111	size > 40PIES; Condition > CW; general > Special > OS		2,43	2,59	12,19	Contenedores utilizados para almacenar mercaderia, expandir el espacio de almacenaje temporalmente como de manera fija. Estos contenedores son muy especiales por que cuentas con puertas en los laterales y te permiten retirar desde el lateral. Puede servir para espacio o modalidades de almacenaje que debes contar con una manera de almacenar y retirar mercaderia por los costados.
40	Special	Special | Especiales	OS	Open side	ASIS	Almacenaje/Modificarlo y reutilizar	40OS ASIS	112	size > 40PIES; Condition > ASIS; general > Special > OS		2,43	2,59	12,19	Contenedores utilizados para almacenar mercaderia, expandir el espacio de almacenaje temporalmente como de manera fija. Estos contenedores son muy especiales por que cuentas con puertas en los laterales y te permiten retirar desde el lateral. Puede servir para espacio o modalidades de almacenaje que debes contar con una manera de almacenar y retirar mercaderia por los costados.
40	Special	Special | Especiales	OS	Open side	NEW	Nuevo	40OS NEW	113	size > 40PIES; Condition > NEW; general > Special > OS		2,43	2,59	12,19	Contenedores utilizados para almacenar mercaderia, expandir el espacio de almacenaje temporalmente como de manera fija. Estos contenedores son muy especiales por que cuentas con puertas en los laterales y te permiten retirar desde el lateral. Puede servir para espacio o modalidades de almacenaje que debes contar con una manera de almacenar y retirar mercaderia por los costados.
40	Special	Special | Especiales	OT	Open Top	CW	Apto para carga 	40OT CW	114	size > 40PIES; Condition > CW; general > Special > OT		2,43	2,59	12,19	Contenedores para aptos para carga maritima, cuentan con una lona montable y desmondable que permite al usuario almacenar carga sobre dimensionada o bien, facilitando la carga por arriba de la mercaderia.
40	Special	Special | Especiales	OT	Open Top	ASIS	Almacenaje/Modificarlo y reutilizar	40OT ASIS	115	size > 40PIES; Condition > ASIS; general > Special > OT		2,43	2,59	12,19	Contenedores para aptos para carga maritima, cuentan con una lona montable y desmondable que permite al usuario almacenar carga sobre dimensionada o bien, facilitando la carga por arriba de la mercaderia.
40	Special	Special | Especiales	OT	Open Top	NEW	Nuevo	40OT NEW	116	size > 40PIES; Condition > NEW; general > Special > OT	40OTNEW_1, 40OTNEW_2, 40OTNEW_3, 40OTNEW_4	2,43	2,59	12,19	Contenedores para aptos para carga maritima, cuentan con una lona montable y desmondable que permite al usuario almacenar carga sobre dimensionada o bien, facilitando la carga por arriba de la mercaderia.
40	Special	Special | Especiales	OT	Open Top	REBUILT	Apto para carga 	40OT REBUILT	117	size > 40PIES; Condition > REBUILT; general > Special > OT	40OTREBUILTCW_1, 40OTREBUILTCW_2, 40OTREBUILTCW_3	2,43	2,59	12,19	Contenedores para aptos para carga maritima, cuentan con una lona montable y desmondable que permite al usuario almacenar carga sobre dimensionada o bien, facilitando la carga por arriba de la mercaderia.
40	Special	Special | Especiales	TK	Tank	CW	Apto para carga 	40TK CW	118	size > 40PIES; Condition > CW; general > Special > TK	40OTCW_1, 40OTCW_2	2,43	2,59	12,19	Contenedores para transporte de liquidos o a granel
40	Special	Special | Especiales	TK	Tank	ASIS	Almacenaje/Modificarlo y reutilizar	40TK ASIS	119	size > 40PIES; Condition > ASIS; general > Special > TK		2,43	2,59	12,19	Estos contenedores estan en condicion sin revisar, recomendamos siempre optar por los aptos para carga, que permitiran utilizarlos para exportacion.
40	Special	Special | Especiales	TK	Tank	NEW	Nuevo	40TK NEW	120	size > 40PIES; Condition > NEW; general > Special > TK		2,43	2,59	12,19	Contenedores para transporte de liquidos o a granel
40	Special	Special | Especiales	DC DD	Standard Double Door	CW	Apto para carga 	40DC DD CW	121	size > 40PIES; Condition > CW; general > Special > DC DD		2,43	2,59	12,19	Contenedores que cuentan con doble puerta, tanto por el frente como por la parte trasera
40	Special	Special | Especiales	DC DD	Standard Double Door	NEW	Nuevo	40DC DD NEW	122	size > 40PIES; Condition > NEW; general > Special > DC DD	40DCDDNEW_1, 40DCDDNEW_2, 40DCDDNEW_3, 40DCDDNEW_4	2,43	2,59	12,19	Contenedores que cuentan con doble puerta, tanto por el frente como por la parte trasera
40	Special	Special | Especiales	HC DD	High Cube Double Door	CW	Apto para carga 	40HC DD CW	124	size > 40PIES; Condition > CW; general > Special > HC DD		2,43	2,89	12,19	Contenedores que cuentan con doble puerta, tanto por el frente como por la parte trasera
40	Special	Special | Especiales	HC DD	High Cube Double Door	NEW	Nuevo	40HC DD NEW	125	size > 40PIES; Condition > NEW; general > Special > HC DD		2,43	2,89	12,19	Contenedores que cuentan con doble puerta, tanto por el frente como por la parte trasera
45	Dry	Seco | Dry	DC	DRY Standard	CW	Apto para carga 	45DC CW	127	size > 45PIES; Condition > CW; general > Dry > DC	45DCCW_1, 45DCCW_2, 45DCCW_3	2,44	2,69	13,72	Contenedores que estan en condicion de aptos para carga, puedes utilizarlos tanto para almacenaje, modificacion aunque su mayor rendimiento y para lo que se destinan es para exportar mercaderia. Tiene 5 pies mas de espacio, esto aporta mas espacio para las exportaciones y permite optimizar mas los fletes maritimos, aunque no siempre es esi,
45	Dry	Seco | Dry	DC	DRY Standard	ASIS	Almacenaje/Modificarlo y reutilizar	45DC ASIS	128	size > 45PIES; Condition > ASIS; general > Dry > DC		2,44	2,69	13,72	Contenedores utilizados para almacenar mercaderia, expandir el espacio de almacenaje temporalmente como de manera fija. Los contenedores tiene 15 años de uso y suelen presentar una estetica deteriorada, sin duda es su relacion, calidad - precio es lo que que recomendamos para nuestros clientes.
45	Dry	Seco | Dry	DC	DRY Standard	NEW	Nuevo	45DC NEW	129	size > 45PIES; Condition > NEW; general > Dry > DC		2,44	2,69	13,72	Contenedores que estan en condicion de aptos para carga, puedes utilizarlos tanto para almacenaje, modificacion aunque su mayor rendimiento y para lo que se destinan es para exportar mercaderia. Tiene 5 pies mas de espacio, esto aporta mas espacio para las exportaciones y permite optimizar mas los fletes maritimos, aunque no siempre es esi,
45	Dry	Seco | Dry	DC	DRY Standard	IICL	IICL	45DC IICL	131	size > 45PIES; Condition > IICL; general > Dry > DC		2,44	2,69	13,72	Contenedores que estan en condicion de aptos para carga, puedes utilizarlos tanto para almacenaje, modificacion aunque su mayor rendimiento y para lo que se destinan es para exportar mercaderia. Tiene 5 pies mas de espacio, esto aporta mas espacio para las exportaciones y permite optimizar mas los fletes maritimos, aunque no siempre es esi,
45	Dry	Seco | Dry	DC	DRY Standard	SCRAP	Chatarra	45DC SCRAP	132	size > 45PIES; Condition > SCRAP; general > Dry > DC		2,44	2,69	13,72	contenedores que han sufrido daños muy severos, desconocemos el daño especifico del contenedor, pero sabemos que no puede ser utilizado para almacenar ni exportar. Muy utilizado para chatarra o para clientes que necesitan utilizar las partes del contenedor.
45	Dry	Seco | Dry	HC	High Cube	CW	Apto para carga 	45HC CW	133	size > 45PIES; Condition > CW; general > Dry > HC	45HCCW_1, 45HCCW_2, 45HCCW_3	2,44	2,89	13,72	Contenedores que estan en condicion de aptos para carga, puedes utilizarlos tanto para almacenaje, modificacion aunque su mayor rendimiento y para lo que se destinan es para exportar mercaderia. Tiene 5 pies mas de espacio, esto aporta mas espacio para las exportaciones y permite optimizar mas los fletes maritimos, aunque no siempre es esi,
